module	class	category	subcategory	name
M00923	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	UDP-L-FucNAm biosynthesis
M00127	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP
M00895	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP
M00896	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP
M00897	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP
M00898	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP
M00899	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Thiamine salvage pathway, HMP/HET => TMP
M00125	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD
M00911	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD
M00124	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P
M00916	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P
M00115	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	NAD biosynthesis, aspartate => quinolinate => NAD
M00912	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	NAD biosynthesis, tryptophan => quinolinate => NAD
M00810	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde
M00811	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde
M00622	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Nicotinate degradation, nicotinate => fumarate
M00119	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Pantothenate biosynthesis, valine/L-aspartate => pantothenate
M00913	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate
M00120	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Coenzyme A biosynthesis, pantothenate => CoA
M00914	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA
M00572	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
M00123	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin
M00950	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin
M00573	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin
M00577	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin
M00881	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H
M00882	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H
M00883	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2
M00884	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2
M00126	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Tetrahydrofolate biosynthesis, GTP => THF
M00840	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF
M00841	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF
M00842	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Tetrahydrobiopterin biosynthesis, GTP => BH4
M00843	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4
M00880	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor
M00140	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	C1-unit interconversion, prokaryotes
M00141	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	C1-unit interconversion, eukaryotes
M00846	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Siroheme biosynthesis, glutamyl-tRNA => siroheme
M00868	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Heme biosynthesis, animals and fungi, glycine => heme
M00121	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Heme biosynthesis, plants and bacteria, glutamate => heme
M00926	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme
M00847	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Heme biosynthesis, archaea, siroheme => heme
M00924	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide
M00925	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide
M00122	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin
M00836	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430
M00117	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol
M00128	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol
M00116	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol
M00930	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Menaquinone biosynthesis, futalosine pathway
M00931	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Menaquinone biosynthesis, modified futalosine pathway
M00932	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol
M00112	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol
M00933	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol
M00095	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C5 isoprenoid biosynthesis, mevalonate pathway
M00849	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
M00096	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C5 isoprenoid biosynthesis, non-mevalonate pathway
M00364	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C10-C20 isoprenoid biosynthesis, bacteria
M00365	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C10-C20 isoprenoid biosynthesis, archaea
M00366	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C10-C20 isoprenoid biosynthesis, plants
M00367	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes
M00097	Pathway modules	Biosynthesis of terpenoids and polyketides	Plant terpenoid biosynthesis	beta-Carotene biosynthesis, GGAP => beta-carotene
M00372	Pathway modules	Biosynthesis of terpenoids and polyketides	Plant terpenoid biosynthesis	Abscisic acid biosynthesis, beta-carotene => abscisic acid
M00371	Pathway modules	Biosynthesis of terpenoids and polyketides	Plant terpenoid biosynthesis	Castasterone biosynthesis, campesterol => castasterone
M00927	Pathway modules	Biosynthesis of terpenoids and polyketides	Plant terpenoid biosynthesis	Gibberellin A12 biosynthesis, GAPP => GA12
M00928	Pathway modules	Biosynthesis of terpenoids and polyketides	Plant terpenoid biosynthesis	Gibberellin A4/A1 biosynthesis, GA12/GA53 => GA4/GA1
M00929	Pathway modules	Biosynthesis of terpenoids and polyketides	Plant terpenoid biosynthesis	Gibberellin A1 biosynthesis, GGPP => GA1
M00773	Pathway modules	Biosynthesis of terpenoids and polyketides	Macrolide biosynthesis	Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin
M00934	Pathway modules	Biosynthesis of terpenoids and polyketides	Macrolide biosynthesis	Mycinamicin biosynthesis, malonyl-CoA + methylmalonyl-CoA => protomycinolide IV => mycinamicin II
M00774	Pathway modules	Biosynthesis of terpenoids and polyketides	Macrolide biosynthesis	Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B
M00775	Pathway modules	Biosynthesis of terpenoids and polyketides	Macrolide biosynthesis	Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin
M00776	Pathway modules	Biosynthesis of terpenoids and polyketides	Macrolide biosynthesis	Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin
M00777	Pathway modules	Biosynthesis of terpenoids and polyketides	Macrolide biosynthesis	Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b
M00824	Pathway modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core
M00825	Pathway modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core
M00826	Pathway modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA
M00827	Pathway modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP
M00828	Pathway modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP
M00829	Pathway modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA
M00830	Pathway modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA
M00831	Pathway modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA
M00832	Pathway modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP
M00834	Pathway modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP
M00833	Pathway modules	Biosynthesis of terpenoids and polyketides	Enediyne biosynthesis	Calicheamicin biosynthesis, calicheamicinone => calicheamicin
M00778	Pathway modules	Biosynthesis of terpenoids and polyketides	Type II polyketide biosynthesis	Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide
M00779	Pathway modules	Biosynthesis of terpenoids and polyketides	Type II polyketide biosynthesis	Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin
M00780	Pathway modules	Biosynthesis of terpenoids and polyketides	Type II polyketide biosynthesis	Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline
M00823	Pathway modules	Biosynthesis of terpenoids and polyketides	Type II polyketide biosynthesis	Chlortetracycline biosynthesis, pretetramide => chlortetracycline
M00781	Pathway modules	Biosynthesis of terpenoids and polyketides	Type II polyketide biosynthesis	Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone
M00782	Pathway modules	Biosynthesis of terpenoids and polyketides	Type II polyketide biosynthesis	Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin
M00783	Pathway modules	Biosynthesis of terpenoids and polyketides	Type II polyketide biosynthesis	Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C
M00784	Pathway modules	Biosynthesis of terpenoids and polyketides	Type II polyketide biosynthesis	Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A
M00793	Pathway modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-L-rhamnose biosynthesis
M00794	Pathway modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-6-deoxy-D-allose biosynthesis
M00795	Pathway modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-beta-L-noviose biosynthesis
M00796	Pathway modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-D-mycaminose biosynthesis
M00797	Pathway modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-D-desosamine biosynthesis
M00798	Pathway modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-L-mycarose biosynthesis
M00799	Pathway modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-L-oleandrose biosynthesis
M00800	Pathway modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-L-megosamine biosynthesis
M00801	Pathway modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-L-olivose biosynthesis
M00802	Pathway modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-D-forosamine biosynthesis
M00803	Pathway modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	dTDP-D-angolosamine biosynthesis
M00039	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol
M00137	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Flavanone biosynthesis, phenylalanine => naringenin
M00940	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Flavanone biosynthesis, p-coumaroyl-CoA => liquiritigenin
M00138	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Flavonoid biosynthesis, naringenin => pelargonidin
M00941	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Isoflavone biosynthesis, liquiritigenin/naringenin => daidzein/genistein
M00942	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Pterocarpan biosynthesis, daidzein => medicarpin
M00966	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Equol biosynthesis, daidzein => equol
M00967	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Flavone degradation, luteolin/apigenin => DHCA/phloretate
M00962	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Psilocybin biosynthesis, tryptophan => psilocybin
M00963	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Chanoclavine aldehyde biosynthesis, tryptophan => chanoclavine-I aldehyde
M00964	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Fumigaclavine biosynthesis, chanoclavine-I aldehyde => fumigaclavine C
M00965	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Vindoline biosynthesis, tabersonine => vindoline
M00943	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Reticuline biosynthesis, dopamine + 4HPAA => (S)-reticuline
M00944	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Morphine biosynthesis, (S)-reticuline => morphine
M00945	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Sanguinarine biosynthesis, (S)-reticuline => sanguinarine
M00946	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Noscapine biosynthesis, (S)-reticuline => noscapine
M00961	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Betacyanin biosynthesis, L-tyrosine => amaranthin
M00370	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Glucosinolate biosynthesis, tryptophan => glucobrassicin
M00900	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Crocin biosynthesis, crocetin => crocin
M00971	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	QS-7 biosynthesis, 2,3-epoxysqualene => QS-7
M00894	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol
M00953	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Mugineic acid biosynthesis, methionine => 3-epihydroxymugineic acid
M00952	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Benzoxazinoid biosynthesis, indoleglycerol phosphate => DIMBOA-glucoside
M00902	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin
M00672	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of beta-lactams	Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin
M00673	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of beta-lactams	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C
M00675	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of beta-lactams	Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate
M00736	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of beta-lactams	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A
M00674	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of beta-lactams	Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate
M00877	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Kanosamine biosynthesis, glucose 6-phosphate => kanosamine
M00889	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Puromycin biosynthesis, ATP => puromycin
M00815	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A
M00904	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Dapdiamides biosynthesis, L-2,3-diaminopropanoate => dapdiamide A/B/C
M00787	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Bacilysin biosynthesis, prephenate => bacilysin
M00785	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Cycloserine biosynthesis, arginine/serine => cycloserine
M00848	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Aurachin biosynthesis, anthranilate => aurachin A
M00788	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Terpentecin biosynthesis, GGAP => terpentecin
M00819	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone
M00903	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin
M00890	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Roseoflavin biosynthesis, FMN => roseoflavin
M00951	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Cremeomycin biosynthesis, aspartate/3,4-AHBA => cremeomycin
M00969	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	Fumagillin biosynthesis, farnesyl-PP => fumagillin
M00661	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other fungal compounds	Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline
M00786	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other fungal compounds	Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A
M00937	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other fungal compounds	Aflatoxin biosynthesis, malonyl-CoA => aflatoxin B1
M00893	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other fungal compounds	Lovastatin biosynthesis, malonyl-CoA => lovastatin acid
M00891	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other fungal compounds	Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline
M00901	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other fungal compounds	Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline
M00814	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose
M00789	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Rebeccamycin biosynthesis, tryptophan => rebeccamycin
M00790	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin
M00805	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Staurosporine biosynthesis, tryptophan => staurosporine
M00808	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Violacein biosynthesis, tryptophan => violacein
M00835	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Pyocyanine biosynthesis, chorismate => pyocyanine
M00837	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Prodigiosin biosynthesis, L-proline => prodigiosin
M00838	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin
M00921	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin
M00905	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B
M00876	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A
M00875	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Staphyloferrin B biosynthesis, L-serine => staphyloferrin B
M00918	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Aerobactin biosynthesis, lysine => aerobactin
M00906	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	Ethynylserine biosynthesis, lysine => ethynylserine
M00538	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Toluene degradation, toluene => benzoate
M00537	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Xylene degradation, xylene => methylbenzoate
M00419	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Cymene degradation, p-cymene => p-cumate
M00547	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol
M00548	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Benzene degradation, benzene => catechol
M00551	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol
M00637	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Anthranilate degradation, anthranilate => catechol
M00568	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Catechol ortho-cleavage, catechol => 3-oxoadipate
M00569	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA
M00539	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate
M00543	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate
M00544	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate
M00418	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Toluene degradation, anaerobic, toluene => benzoyl-CoA
M00541	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA
M00540	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA
M00534	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	Naphthalene degradation, naphthalene => salicylate
